Institution Name,Branch Name,Established Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits
JPMorgan Chase Bank,Grand Blanc Point Branch,11/01/1963,"5668 South Saginaw Road, Suite G",Flint,Genesee,MI,48507,42.94532,-83.65154,73723.0,80884.0,83613.0,86996.0
JPMorgan Chase Bank,Flatbush Branch,10/08/1932,1101 Avenue J,Brooklyn,Kings,NY,11230,40.62481,-73.96481,168325.0,166328.0,178360.0,202206.0
JPMorgan Chase Bank,Appleton Drive-Up Branch,09/24/1962,127 North Appleton Street,Appleton,Outagamie,WI,54911,44.26222,-88.40733,0.0,0.0,0.0,0.0
JPMorgan Chase Bank,Long Branch Banking Center Branch,12/14/2005,160 Brighton Avenue,Long Branch,Monmouth,NJ,7740,40.284729999999996,-73.98907,33671.0,34760.0,41781.0,47315.0
JPMorgan Chase Bank,Abbeville Branch,05/10/1991,500 Charity Street,Abbeville,Vermilion,LA,70510,29.97327,-92.13124,15076.0,15748.0,15788.0,16355.0
JPMorgan Chase Bank,Newtown Branch,12/28/1974,30 Church Hill Road,Newtown,Fairfield,CT,6470,41.41458,-73.30159,51729.0,58509.0,65722.0,76224.0
JPMorgan Chase Bank,Clio Pierson Branch,11/08/1956,4934 Clio Road,Flint,Genesee,MI,48504,43.0589,-83.73318,0.0,0.0,0.0,0.0
JPMorgan Chase Bank,Mt. Prospect - Busse Branch,07/10/1911,111 East Busse Avenue,Mount Prospect,Cook,IL,60056,42.064440000000005,-87.9352,482945.0,580750.0,603984.0,632143.0
JPMorgan Chase Bank,Irvine - Quail Hill Branch,04/05/2004,6875 Quail Hill Parkway,Irvine,Orange,CA,92603,33.64765,-117.76746999999999,43306.0,46390.0,61467.0,74232.0
JPMorgan Chase Bank,Ridglea Branch,01/01/1919,6351 Camp Bowie Boulevard,Fort Worth,Tarrant,TX,76116,32.72672,-97.42009,67838.0,67594.0,75324.0,77857.0
JPMorgan Chase Bank,Middle Belt-Eleven Mile Road Branch,02/26/1965,26029 Middlebelt Road,Farmington Hills,Oakland,MI,48334,42.48556,-83.33842,60148.0,63999.0,70134.0,72259.0
JPMorgan Chase Bank,South Carrier Pkwy and I 20 Branch,10/19/1998,3980 South Carrier Parkway,Grand Prairie,Dallas,TX,75052,32.67714,-97.00698,29562.0,31386.0,37149.0,40211.0
